commission_id,commission_rate,commission_amount,payment_method,payment_date,1,7.1,38298,error: undefined method `first' for nil:NilClass,12/21/2020,4.1,20990,5/14/2020
1.0,4.2,21619.0,Draft,1/13/2021,,,,,,,,
2.0,3.2,34562.0,Draft,8/27/2022,,,,,,,,
3.0,2.6,9710.0,Pay Order,8/30/2021,,,,,,,,
4.0,4.1,44279.0,Pay Order,2/13/2023,,,,,,,,
5.0,3.6,45647.0,Draft,3/5/2023,,,,,,,,
6.0,4.7,13099.0,Cash,11/12/2021,,,,,,,,
7.0,5.9,44543.0,Pay Order,9/21/2022,,,,,,,,
8.0,3.6,12497.0,EFT,1/4/2019,,,,,,,,
9.0,4.4,7013.0,EFT,10/4/2023,,,,,,,,
10.0,2.1,40535.0,Cash,10/24/2019,,,,,,,,
11.0,,26656.0,Cheque,2/1/2023,,,,,,,,
12.0,2.0,5988.0,Pay Order,11/26/2023,,,,,,,,
13.0,4.0,19783.0,EFT,12/19/2022,,,,,,,,
14.0,2.4,26574.0,Draft,1/21/2022,,,,,,,,
15.0,2.2,29920.0,Cheque,5/2/2022,,,,,,,,
16.0,3.0,44301.0,Draft,3/10/2019,,,,,,,,
17.0,4.4,3083.0,Cheque,4/22/2020,,,,,,,,
18.0,6.0,13890.0,Pay Order,5/3/2022,,,,,,,,
19.0,3.2,30782.0,EFT,8/7/2021,,,,,,,,
20.0,5.0,28814.0,Draft,5/1/2022,,,,,,,,
21.0,5.4,5620.0,Cheque,2/5/2020,,,,,,,,
22.0,4.3,35552.0,EFT,3/14/2022,,,,,,,,
23.0,3.6,29997.0,Cash,8/9/2023,,,,,,,,
24.0,4.3,11025.0,Cheque,8/19/2019,,,,,,,,
25.0,2.0,34769.0,Cheque,6/29/2023,,,,,,,,
26.0,3.1,28343.0,Draft,5/19/2019,,,,,,,,
27.0,3.4,21381.0,Cheque,6/7/2023,,,,,,,,
28.0,3.7,28664.0,Pay Order,9/8/2023,,,,,,,,
29.0,5.8,25411.0,EFT,2/14/2020,,,,,,,,
30.0,5.0,8471.0,EFT,6/26/2019,,,,,,,,
31.0,2.6,35635.0,Draft,2/9/2023,,,,,,,,
32.0,6.0,13593.0,Draft,6/30/2020,,,,,,,,
33.0,3.9,24425.0,Draft,12/6/2023,,,,,,,,
34.0,5.7,34720.0,Pay Order,10/27/2020,,,,,,,,
35.0,2.8,43795.0,Pay Order,3/30/2022,,,,,,,,
36.0,2.6,1641.0,EFT,12/20/2021,,,,,,,,
37.0,5.8,1748.0,Pay Order,10/20/2021,,,,,,,,
38.0,2.1,40694.0,EFT,11/25/2023,,,,,,,,
39.0,3.0,44019.0,Cheque,10/22/2022,,,,,,,,
40.0,3.2,43795.0,EFT,11/9/2019,,,,,,,,
41.0,5.6,24506.0,Draft,3/1/2020,,,,,,,,
