maintenance_id,property_id,maintenance_date,maintenance_type,cost,description,1,731,12/19/2019,error: undefined method `first' for nil:NilClass,3562,3-000 - General,852,1/28/2021,5889,13-185 - Kennels and Animal Shelters
1.0,413.0,12/12/2023,Roofing replacement,2866.0,1-740 - Cleaning,,,,,,,,,,
2.0,488.0,12/31/2022,Painting,3038.0,13-110 - Cathodic Protection,,,,,,,,,,
3.0,699.0,11/20/2020,HVAC servicing,4154.0,11-080 - Registration Equipment,,,,,,,,,,
4.0,463.0,4/2/2021,Flooring repair,2264.0,1-012 - Superintendent,,,,,,,,,,
5.0,168.0,7/5/2019,HVAC servicing,1466.0,5-300 - Metal Deck,,,,,,,,,,
6.0,809.0,1/8/2022,Roofing replacement,5336.0,11-120 - Vending Equipment,,,,,,,,,,
7.0,149.0,12/29/2019,HVAC servicing,2413.0,16-300 - Transmission and Distribution,,,,,,,,,,
8.0,532.0,6/19/2022,Flooring repair,4056.0,2-812 - Drip Irrigation,,,,,,,,,,
9.0,839.0,11/1/2023,Painting,5215.0,2-821 - Chain Link Fences,,,,,,,,,,
10.0,716.0,1/1/2020,Roofing replacement,654.0,1-540 - Construction Aids,,,,,,,,,,
11.0,836.0,4/5/2020,Electrical maintenance,1127.0,4-700 - Simulated Masonry,,,,,,,,,,
12.0,762.0,12/31/2022,,742.0,11-600 - Laboratory Equipment,,,,,,,,,,
13.0,396.0,12/22/2019,Window replacement,9300.0,5-600 - Hydraulic Fabrications,,,,,,,,,,
14.0,179.0,5/28/2019,Electrical maintenance,4473.0,12-700 - Systems Furniture,,,,,,,,,,
15.0,812.0,7/19/2021,Window replacement,4622.0,11-870 - Agricultural Equipment,,,,,,,,,,
16.0,543.0,5/17/2022,HVAC servicing,7505.0,13-160 - Aquariums,,,,,,,,,,
17.0,386.0,1/22/2021,Flooring repair,1676.0,11-650 - Planetarium Equipment,,,,,,,,,,
18.0,454.0,5/29/2019,Flooring repair,2847.0,13-400 - Measurement and Control Instrumentation,,,,,,,,,,
19.0,671.0,7/8/2021,Window replacement,1909.0,3-540 - Cementitious Underlayments,,,,,,,,,,
20.0,158.0,3/30/2023,Painting,9651.0,13 - Special Construction,,,,,,,,,,
21.0,212.0,8/19/2022,Electrical maintenance,6157.0,2-220 - Site Demolition,,,,,,,,,,
22.0,660.0,9/5/2021,Painting,3646.0,9-250 - Gypsum Wallboard,,,,,,,,,,
23.0,731.0,2/11/2020,HVAC servicing,9842.0,15-200 - Process Piping,,,,,,,,,,
24.0,16.0,10/15/2020,Window replacement,9077.0,14 - Conveying Systems,,,,,,,,,,
25.0,303.0,3/3/2019,Roofing replacement,7596.0,11-060 - Theater and Stage Equipment,,,,,,,,,,
26.0,568.0,8/8/2023,Electrical maintenance,6315.0,4-400 - Stone,,,,,,,,,,
27.0,383.0,3/19/2023,Roofing replacement,8645.0,10-290 - Pest Control,,,,,,,,,,
28.0,851.0,4/16/2023,HVAC servicing,404.0,1-523 - Sanitary Facilities,,,,,,,,,,
29.0,287.0,8/29/2020,Electrical maintenance,8785.0,13-600 - Solar and Wind Energy Equipment,,,,,,,,,,
