AgentID,Gender,AgeCat,AgentSince,Position
1,Male,Middle Aged,5,Property Manager
2,Female,Middle Aged,3,Broker Associate
3,Female,Middle Aged,5,Listing Coordinator
4,Male,Middle Aged,2,Listing Coordinator
5,Female,Middle Aged,2,Property Manager
6,Male,Adult,3,Broker Associate
7,Male,Middle Aged,3,Real Estate Agent
8,Female,Middle Aged,3,Real Estate Agent
9,Female,Middle Aged,6,Listing Coordinator
10,Female,Senior,5,Real Estate Agent
11,Male,Adult,2,Broker Associate
12,Male,Adult,5,Real Estate Agent
13,Male,Adult,2,Leasing Consultant
14,Male,Senior,6,Leasing Consultant
15,Male,Middle Aged,2,Real Estate Agent
16,Male,Adult,6,Listing Coordinator
17,Male,Middle Aged,6,Property Manager
18,Female,Middle Aged,2,Broker Associate
19,Male,Senior,2,Broker Associate
20,Male,Adult,3,Listing Coordinator
21,Male,Senior,6,Real Estate Agent
22,Female,Middle Aged,2,Real Estate Agent
23,Male,Senior,2,Listing Coordinator
24,Male,Middle Aged,4,Property Manager
25,Male,Middle Aged,6,Listing Coordinator
26,Female,Middle Aged,4,Property Manager
27,Female,Adult,6,Broker Associate
28,Male,Middle Aged,6,Leasing Consultant
29,Female,Senior,3,Property Manager
30,Male,Middle Aged,5,Listing Coordinator
31,Male,Middle Aged,5,Leasing Consultant
32,Male,Middle Aged,4,Leasing Consultant
33,Male,Adult,3,Leasing Consultant
34,Male,Senior,2,Leasing Consultant
35,Female,Adult,5,Real Estate Agent
36,Female,Adult,2,Leasing Consultant
37,Male,Senior,5,Listing Coordinator
38,Male,Adult,2,Listing Coordinator
39,Female,Middle Aged,3,Leasing Consultant
40,Male,Adult,6,Leasing Consultant
41,Male,Senior,6,Broker Associate
42,Male,Adult,6,Broker Associate
43,Female,Middle Aged,4,Listing Coordinator
44,Female,Adult,4,Real Estate Agent
45,Female,Adult,4,Property Manager
46,Male,Adult,6,Property Manager
47,Female,Adult,3,Listing Coordinator
48,Male,Senior,3,Property Manager
49,Male,Middle Aged,2,Property Manager
50,Male,Adult,5,Listing Coordinator
51,Male,Senior,5,Leasing Consultant
52,Male,Middle Aged,3,Property Manager
53,Female,Middle Aged,3,Property Manager
54,Male,Middle Aged,6,Broker Associate
55,Female,Middle Aged,4,Leasing Consultant
56,Female,Adult,2,Broker Associate
57,Female,Adult,3,Real Estate Agent
58,Male,Middle Aged,3,Broker Associate
59,Female,Middle Aged,6,Property Manager
60,Male,Middle Aged,4,Broker Associate
61,Male,Middle Aged,6,Real Estate Agent
62,Female,Adult,2,Property Manager
63,Male,Adult,4,Broker Associate
64,Female,Senior,3,Listing Coordinator
65,Female,Senior,6,Broker Associate
66,Male,Adult,2,Property Manager
67,Female,Adult,3,Property Manager
68,Female,Middle Aged,2,Leasing Consultant
69,Female,Senior,6,Real Estate Agent
70,Male,Middle Aged,3,Leasing Consultant
71,Female,Senior,4,Real Estate Agent
72,Male,Middle Aged,5,Broker Associate
73,Female,Adult,6,Real Estate Agent
74,Male,Senior,4,Leasing Consultant
