TransactionID,Date,Year,Quarter,Month,Week,Day,State,City,ZipCode,Gender,AgeCat,AgentSince,Position,LotArea,Bedrooms,Bathrooms,Kitchens,Floors,ParkingArea,BuiltSince,Condition,ListingType,NumVisits,MaintenanceExp,AskedAmount,TransactionValue,CommissionRate,CommissionValue,NegotiationDays,ClosingDays
1,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
1,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
2,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
2,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
3,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
3,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
4,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
4,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
5,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
5,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
6,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
6,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
7,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
7,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
8,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
8,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
9,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
9,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
10,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
10,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
11,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
11,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
12,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
12,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
13,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
13,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
14,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
14,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
15,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
15,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
16,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
16,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
17,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
17,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
18,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
18,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,874.0
19,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
19,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
20,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
20,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
21,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
21,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
22,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
22,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
23,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
23,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
24,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
24,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
25,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
25,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
26,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
26,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
27,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
27,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
28,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
28,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
29,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
29,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
30,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
30,2023-06-20,2023,2,6,25,20,NY,New York,10001,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
31,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
31,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
32,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
32,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,1,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
33,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
33,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
34,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
34,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Young,0,Broker Associate,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
35,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
35,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
36,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
36,2023-06-20,2023,2,6,25,20,NY,New York,10001,Female,Adult,10,Senior Agent,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,4.2,21619.0,5,36.0
37,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
37,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
38,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
38,2023-06-20,2023,2,6,25,20,California,Fresno,93750,Male,Middle Aged,4,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
39,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
39,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
40,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
40,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Male,Middle Aged,5,Property Manager,2500,3,2,1,2,300,10,Excellent,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
41,2023-06-20,2023,2,6,25,20,California,San Francisco,94142,Female,Young,1,Broker Associate,3418,4,4,2,2,473,44,Poor,Sale,4,500,471216.0,450000.0,0.05,22500.0,5,874.0
